"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.12.2018","4.243,0","4.043,6","4.339,0","3.978,8","27,50K","5,07%"
"02.12.2018","4.159,7","4.241,4","4.353,2","4.127,2","24,40K","-1,96%"
"03.12.2018","3.901,2","4.172,9","4.178,5","3.836,2","36,86K","-6,21%"
"04.12.2018","3.981,9","3.903,8","4.131,1","3.793,1","33,69K","2,07%"
"05.12.2018","3.765,3","3.982,2","4.000,1","3.751,1","28,43K","-5,44%"
"06.12.2018","3.531,3","3.770,5","3.908,0","3.506,0","58,22K","-6,21%"
"07.12.2018","3.460,0","3.528,6","3.624,8","3.278,4","74,08K","-2,02%"
"08.12.2018","3.506,0","3.460,0","3.784,8","3.316,2","39,08K","1,33%"
"09.12.2018","3.639,6","3.506,0","3.766,6","3.469,7","25,08K","3,81%"
"10.12.2018","3.524,9","3.642,1","3.697,9","3.475,8","22,60K","-3,15%"
"11.12.2018","3.435,3","3.523,5","3.549,6","3.384,0","24,05K","-2,54%"
"12.12.2018","3.535,6","3.435,3","3.611,2","3.415,1","20,93K","2,92%"
"13.12.2018","3.354,4","3.535,6","3.539,1","3.322,2","22,24K","-5,13%"
"14.12.2018","3.282,8","3.354,4","3.390,8","3.226,4","28,56K","-2,13%"
"15.12.2018","3.285,1","3.281,6","3.323,8","3.216,1","17,89K","0,07%"
"16.12.2018","3.299,9","3.282,2","3.380,3","3.278,0","19,10K","0,45%"
"17.12.2018","3.625,1","3.299,9","3.711,5","3.285,5","35,72K","9,85%"
"18.12.2018","3.780,1","3.625,0","3.780,9","3.551,0","29,43K","4,28%"
"19.12.2018","3.810,0","3.780,1","4.041,1","3.758,0","55,26K","0,79%"
"20.12.2018","4.214,5","3.810,0","4.275,7","3.788,6","65,87K","10,62%"
"21.12.2018","3.976,1","4.214,6","4.283,0","3.913,3","43,52K","-5,66%"
"22.12.2018","4.135,0","3.975,9","4.147,3","3.919,5","19,51K","4,00%"
"23.12.2018","4.075,7","4.135,0","4.210,0","4.036,8","24,47K","-1,43%"
"24.12.2018","4.145,2","4.071,7","4.384,0","4.069,0","38,00K","1,71%"
"25.12.2018","3.909,7","4.140,7","4.152,1","3.815,5","33,73K","-5,68%"
"26.12.2018","3.929,8","3.909,7","3.990,0","3.812,1","19,13K","0,51%"
"27.12.2018","3.714,7","3.930,0","3.954,9","3.688,0","23,61K","-5,47%"
"28.12.2018","4.036,7","3.712,0","4.094,9","3.696,3","26,92K","8,67%"
